date,pred_w_speed,pred_w_dir,pred_temp,pred_pressure,pred_humidity,ture_w_speed,target
2020/1/1 0:00,5.1,248,-5.6,1031,38,3.5,1.857
2020/1/1 0:15,5.1,248,-5.6,1031,38,3.6,2.218
2020/1/1 0:30,5,249,-5.5,1030,39,3.8,2.571
2020/1/1 0:45,5,249,-5.5,1030,39,3.8,2.795
2020/1/1 1:00,5,249,-5.5,1030,39,4.2,4.024
2020/1/1 1:15,5,249,-5.5,1030,39,4,3.62
2020/1/1 1:30,5.1,249,-5.4,1030,38,4,3.663
2020/1/1 1:45,5.1,249,-5.4,1030,38,4.4,5.087
2020/1/1 2:00,5.1,249,-5.4,1030,38,4.3,5.044
2020/1/1 2:15,5.1,250,-5.4,1030,38,4.1,4.207
2020/1/1 2:30,5.1,252,-5.4,1030,37,3.5,1.669
2020/1/1 2:45,5,253,-5.4,1030,37,3,0.645
2020/1/1 3:00,5,255,-5.5,1030,37,2.6,0.341
2020/1/1 3:15,4.8,258,-5.7,1030,36,2.2,0.041
2020/1/1 3:30,4.7,261,-5.8,1029,36,2.5,0.122
2020/1/1 3:45,4.5,265,-6,1029,35,3.3,0.862
2020/1/1 4:00,4.3,269,-6.2,1029,35,3.5,2.187
2020/1/1 4:15,4.1,270,-6.4,1029,34,3.2,1.267
2020/1/1 4:30,3.9,271,-6.7,1029,34,3,0.886
2020/1/1 4:45,3.7,275,-6.9,1029,33,3.1,0.752
2020/1/1 5:00,3.5,277,-7.1,1029,33,3.1,0.889
2020/1/1 5:15,3.3,279,-7.2,1029,33,3.2,1.175
2020/1/1 5:30,3.2,279,-7.4,1029,32,3,0.734
2020/1/1 5:45,3.1,281,-7.5,1029,32,2.8,0.26
2020/1/1 6:00,2.9,282,-7.6,1029,32,2.6,-0.049
2020/1/1 6:15,2.8,283,-7.6,1029,31,2.5,-0.109
2020/1/1 6:30,2.7,283,-7.5,1030,31,2.6,-0.127
2020/1/1 6:45,2.6,283,-7.5,1030,30,2.4,-0.149
2020/1/1 7:00,2.5,284,-7.4,1030,30,2.1,-0.173
2020/1/1 7:15,2.4,282,-7.3,1030,29,2,-0.171
2020/1/1 7:30,2.3,283,-7.2,1030,28,2.3,-0.155
2020/1/1 7:45,2.1,281,-7.1,1030,27,2.3,-0.178
2020/1/1 8:00,2,281,-6.8,1030,27,2.3,-0.19
2020/1/1 8:15,1.9,282,-6.2,1030,26,2,-0.177
2020/1/1 8:30,1.8,279,-5.7,1030,25,1.8,-0.169
2020/1/1 8:45,1.7,280,-5.1,1030,24,1.8,-0.177
2020/1/1 9:00,1.5,281,-4.6,1030,23,1.8,-0.164
2020/1/1 9:15,1.4,278,-4.2,1030,22,1,-0.136
2020/1/1 9:30,1.3,274,-3.7,1030,21,0.5,-0.162
2020/1/1 9:45,1.2,270,-3.3,1030,20,0.7,-0.125
2020/1/1 10:00,1.1,270,-2.9,1030,20,0.7,-0.132
2020/1/1 10:15,1.1,265,-2.6,1030,20,0.8,-0.163
2020/1/1 10:30,1,259,-2.2,1030,20,0.8,-0.196
2020/1/1 10:45,1,253,-1.9,1030,20,0.4,-0.142
2020/1/1 11:00,1.1,248,-1.6,1030,20,0.4,-0.133
2020/1/1 11:15,1.2,246,-1.4,1030,20,0.5,-0.162
2020/1/1 11:30,1.3,241,-1.1,1029,21,0.5,-0.145
2020/1/1 11:45,1.4,240,-0.9,1029,21,0.5,-0.104
2020/1/1 12:00,1.5,233,-0.7,1029,21,0.7,-0.157
2020/1/1 12:15,1.6,230,-0.6,1029,22,1.1,-0.144
2020/1/1 12:30,1.6,223,-0.4,1029,22,1.4,-0.151
2020/1/1 12:45,1.7,220,-0.3,1029,23,1.4,-0.139
2020/1/1 13:00,1.9,216,-0.2,1029,23,1.2,-0.153
2020/1/1 13:15,1.9,212,-0.2,1029,24,1.3,-0.14
2020/1/1 13:30,1.9,208,-0.1,1028,25,1.3,-0.141
2020/1/1 13:45,2,204,-0.1,1028,26,1,-0.151
2020/1/1 14:00,2,200,-0.1,1028,27,1.4,-0.173
2020/1/1 14:15,2,198,-0.2,1028,28,2,-0.168
2020/1/1 14:30,2.1,194,-0.3,1028,30,2,-0.156
2020/1/1 14:45,2,191,-0.4,1028,31,2.5,-0.094
2020/1/1 15:00,2,189,-0.5,1028,34,2.6,-0.151
2020/1/1 15:15,2.1,185,-0.7,1028,37,2.5,-0.145
2020/1/1 15:30,2.2,183,-1,1028,40,2.9,-0.068
2020/1/1 15:45,2.3,180,-1.2,1028,43,3.3,1.124
2020/1/1 16:00,2.4,180,-1.7,1028,47,3.3,1.436
2020/1/1 16:15,2.5,180,-2.4,1028,50,3,0.955
2020/1/1 16:30,2.6,182,-3.2,1028,53,2.9,0.707
2020/1/1 16:45,2.7,182,-3.9,1028,56,3.5,1.814
2020/1/1 17:00,2.7,182,-4.3,1028,57,3.3,1.749
2020/1/1 17:15,2.8,184,-4.3,1028,58,3.5,1.881
2020/1/1 17:30,2.9,186,-4.3,1028,58,3.5,2.122
2020/1/1 17:45,3,188,-4.3,1028,59,3.4,1.509
2020/1/1 18:00,3,189,-4.2,1028,58,3.3,1.371
2020/1/1 18:15,3,194,-4.1,1028,57,3,0.843
2020/1/1 18:30,2.9,196,-3.9,1029,55,3,0.856
2020/1/1 18:45,2.9,200,-3.8,1029,54,3,0.962
2020/1/1 19:00,2.8,206,-3.4,1029,52,3.2,1.198
2020/1/1 19:15,2.6,209,-2.9,1029,51,3.1,0.804
2020/1/1 19:30,2.4,215,-2.3,1029,49,2.8,0.558
2020/1/1 19:45,2.3,220,-1.8,1029,48,2.2,-0.166
2020/1/1 20:00,2.3,225,-1.4,1029,47,2.1,-0.185
2020/1/1 20:15,2.1,229,-1.2,1029,47,1.8,-0.175
2020/1/1 20:30,2.1,233,-1,1029,47,1.3,-0.164
2020/1/1 20:45,2,237,-0.8,1029,47,0.9,-0.164
2020/1/1 21:00,1.9,242,-0.7,1029,47,0.4,-0.136
2020/1/1 21:15,1.9,245,-0.8,1029,48,0.2,-0.118
2020/1/1 21:30,1.7,246,-0.8,1029,49,0.2,-0.161
2020/1/1 21:45,1.7,249,-0.9,1029,50,0.5,-0.155
2020/1/1 22:00,1.7,253,-1,1029,51,0.8,-0.156
2020/1/1 22:15,1.6,256,-1.2,1029,52,0.8,-0.139
2020/1/1 22:30,1.6,259,-1.4,1029,54,1.2,-0.165
2020/1/1 22:45,1.6,263,-1.6,1029,55,1.7,-0.181
2020/1/1 23:00,1.6,266,-2,1029,57,1.9,-0.167
2020/1/1 23:15,1.5,270,-2.6,1029,59,1.8,-0.168
